name,party,office,id,gunControlDirect,gunRightsDirect,gunControlSupport,gunControlOpposed,gunRightsSupport,gunRightsOpposed,net,rank
"Beatty, Joyce",D,H,OH03,25,0,0,0,0,0,-25,321
"Ocasio-Cortez, Alexandria",D,H,NY14,40,0,0,0,0,0,-40,322
"Scott, David",D,H,GA13,0,0,0,0,0,65,-65,323
"Horn, Kendra",D,H,OK05,71,0,0,0,0,0,-71,324
"Lawson, Al",D,H,FL05,0,0,0,0,0,92,-92,325
"Omar, Ilhan",D,H,MN05,107,0,0,0,0,0,-107,326
"Schatz, Brian",D,S,HIS1,0,0,0,0,0,143,-143,327
"Gabbard, Tulsi",D,H,HI02,0,0,0,0,0,143,-143,328
"Bonamici, Suzanne",D,H,OR01,0,0,0,0,0,188,-188,329
"McNerney, Jerry",D,H,CA09,0,0,0,0,0,199,-199,330
"Matsui, Doris O",D,H,CA06,250,0,0,0,0,0,-250,331
"Schultz, Debbie Wasserman",D,H,FL23,250,0,0,0,0,0,-250,332
"Eshoo, Anna",D,H,CA18,0,0,0,0,0,278,-278,333
"Roybal-Allard, Lucille",D,H,CA40,0,0,0,0,0,278,-278,334
"Rush, Bobby L",D,H,IL01,0,0,0,0,0,328,-328,335
"Langevin, Jim",D,H,RI02,250,0,0,0,0,140,-390,336
"Doggett, Lloyd",D,H,TX35,0,0,0,0,0,414,-414,337
"Kaptur, Marcy",D,H,OH09,0,0,0,0,0,443,-443,338
"Phillips, Dean",D,H,MN03,0,0,0,0,0,492,-492,339
"Merkley, Jeff",D,S,ORS1,500,0,0,0,0,0,-500,340
"Loebsack, David",D,H,IA02,500,0,0,0,0,0,-500,341
"Tonko, Paul",D,H,NY20,500,0,0,0,0,0,-500,342
"Blumenauer, Earl",D,H,OR03,500,0,0,0,0,0,-500,343
"Cleaver, Emanuel",D,H,MO05,500,0,0,0,0,71,-571,344
"Larson, John B",D,H,CT01,250,0,0,0,0,326,-576,345
"Johnson, Eddie Bernice",D,H,TX30,250,0,0,0,0,414,-664,346
"Clay, William L Jr",D,H,MO01,250,0,0,0,0,431,-681,347
"Velazquez, Nydia M",D,H,NY07,500,0,0,0,0,252,-752,348
"Waters, Maxine",D,H,CA43,500,0,0,0,0,278,-778,349
"Cooper, Jim",D,H,TN05,1000,0,0,0,201,0,-799,350
"Pressley, Ayanna",D,H,MA07,810,0,0,0,0,0,-810,351
"Davis, Danny K",D,H,IL07,500,0,0,0,0,328,-828,352
"Neal, Richard E",D,H,MA01,500,0,0,0,0,442,-942,353
"Lieu, Ted",D,H,CA33,1000,0,0,0,0,0,-1000,354
"Torres, Norma",D,H,CA35,1000,0,0,0,0,0,-1000,355
"Correa, Lou",D,H,CA46,1000,0,0,0,0,0,-1000,356
"Case, Ed",D,H,HI01,1000,0,0,0,0,0,-1000,357
"Carson, Andre",D,H,IN07,1000,0,0,0,0,0,-1000,358
"Yarmuth, John A",D,H,KY03,1000,0,0,0,0,0,-1000,359
"Trahan, Lori",D,H,MA03,1000,0,0,0,0,0,-1000,360
"Kildee, Dan",D,H,MI05,1000,0,0,0,0,0,-1000,361
"Serrano, Jose E",D,H,NY15,750,0,0,0,0,252,-1002,362
"Doyle, Mike",D,H,PA18,500,0,0,0,0,566,-1066,363
"Lujan, Ben Ray",D,H,NM03,6650,5500,0,0,0,0,-1150,364
"Tlaib, Rashida",D,H,MI13,1150,0,0,0,0,0,-1150,365
"Gallego, Ruben",D,H,AZ07,1165,0,0,0,0,0,-1165,366
"Hirono, Mazie K",D,S,HIS2,1250,0,0,0,0,0,-1250,367
"Napolitano, Grace",D,H,CA32,1000,0,0,0,0,278,-1278,368
"Sewell, Terri A",D,H,AL07,1250,0,0,0,0,71,-1321,369
"Visclosky, Pete",D,H,IN01,1000,0,0,0,0,432,-1432,370
"Moulton, Seth",D,H,MA06,1500,0,0,0,0,0,-1500,371
"Cohen, Steve",D,H,TN09,1500,0,0,0,0,0,-1500,372
